"Estadillo","lng","lat","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","IDCounty","County","Municipality","IDMunicipality","ProtectedArea","ProtectionStatus","PublicForest","Ownership","BoundMarkers","LegaDemarcated"
326,-4.49233,42.764927,"A","3E",NA,NA,3404,"Boedo-Ojeda","Olmos de Ojeda",34114,"","","Allende","E.L.M. de Montoto de Ojeda","No","No"
327,-4.467894,42.765243,"A","1","A","1",3404,"Boedo-Ojeda","Olmos de Ojeda",34114,"","","Las Matas","Ayto. de Olmos de Ojeda","No","No"
330,-4.50433,42.755765,"A","1",NA,NA,3404,"Boedo-Ojeda","Olmos de Ojeda",34114,"","","Moyuelo","E.L.M. de Vega de Bur","No","No"
332,-4.479897,42.756083,"A","1",NA,NA,3404,"Boedo-Ojeda","Olmos de Ojeda",34114,"","","Moyuelo","E.L.M. de Vega de Bur","No","No"
333,-4.382164,42.757305,"A","4C","A","1",3407,"Aguilar","Aguilar de Campoo",34004,"","","","","",""
335,-4.516326,42.746601,"A","1",NA,NA,3404,"Boedo-Ojeda","Payo de Ojeda",34124,"","","","","",""
336,-4.491898,42.746922,"A","4",NA,NA,3404,"Boedo-Ojeda","Olmos de Ojeda",34114,"","","Moyuelo","E.L.M. de Vega de Bur","No","No"
339,-4.381964,42.748302,"A","1",NA,NA,3407,"Aguilar","Aguilar de Campoo",34004,"","","","","",""
341,-4.247591,42.749845,"A","1",NA,NA,3407,"Aguilar","Pomar de Valdivia",34135,"Las Tuerces","Paisaje Protegido","Las Tuerces, Campo del Pozo, Cuesta Aedo y La Loma","E.L.M. de Villaescusa de las Torres","No","No"
342,-4.406191,42.739002,"A","4C","A","1",3407,"Aguilar","Aguilar de Campoo",34004,"","","Valdemensur","Ayto. de Aguilar de Campoo","No","No"
343,-4.393978,42.739151,"A","4",NA,NA,3407,"Aguilar","Aguilar de Campoo",34004,"","","Valdemensur","Ayto. de Aguilar de Campoo","No","No"
